0	1	Enjoyed the food very much. Reminded me so much of Korea.   Its just like the traditional korean bbq where you cook on the grill in front of you. Ordered the marinated kalbi, bulgogi, duck, and steam egg. Will definitely come back and bring more friends.
1	1	yeah all the hype.  all the fuss.  all the food.  all the shakes.  delicious.  I had the hotdog and chicago dog and they were good.  now the coffee fair trade shake, i could not get enough.oh did I mention the coffee shake was delicious?    If you know what you want, there is a virtually no line window outside to get small things like drinks and cements.
2	1	Secret Pizza is so much fun to take people to!  They do pizza exceptionally well...nice crispy bottom, chewy crust, great sauce.  It is not my all-time-favorite or anything, but on taste alone I'd hand out 4.5 stars.    Any two of the following puts it in a unique place that is well deserved of 5 stars for me:  It is called Secret Pizza for a reason, there are no signs; it is not located on the restaurant listing for the Cosmopolitan. Walking down the hall to a hidden gem is half the fun!  Then there is the fact that you can get a quality IPA on tap.  The wall of records is is incredibly cool, and the black & white tile fits so perfectly.  Pizza + secret + atmosphere + IPA = an easy 5 stars in my book.  I will take out-of-town friends here anytime, but i'd also stop in for a slice if I was anywhere near the cosmo!
3	0	This buffet is crap if you eat here at least once a day, which we did for 5 days during our stay. Lunch is basically leftovers from the previous night's dinner, but guess what, the menu never changes! It's the same stuff every day. However, one day, there was NY Steak straight from the grill, but the price per person shoots up to like $40 (not worth it for just steak and the same stuff). One extra star for the frozen yogurt at the dessert area, which I never got sick of.
4	1	Our server  was breeaanda? She was super nice and helpful. We were  originally sat outside but someone in our party had a fear of birds so they were able to relocate us inside. Our server was attentive and help and friendly. Chili Omelet  was the best!!
5	0	first I must say I liked the salad bar area, because they serve it to you and that cuts back on germs and it was good. However the for the price i was expecting more of a selection in foods. The desert section is great. they have cotton candy. My waitress kept getting our drink orders wrong. Oh, and my coffee was lukewarm.  between my husband and myself the meal cost about $50.  I think it was just to expensive for what you get. I will not return there, i have had better buffet  experiences for a lot less money.
6	1	Recently had friends call to say there were coming to visit and wanted to know if I would like to join them at this restaurant.   Reservations were necessary because this place is in high demand and I certainly realized why once we had our meal.  We were beyond happy!  My friend had heard of this place on the food network (she is from North Carolina).    If you want atmosphere you will not find it here but food unbelievable, smiling faces everywhere and those of us lucky enough to live here get to go back. I had the prawns.  You get them with the shells and believe me the way they are prepared you wonder why other restaurants do not prepare them the same way.  Of course we had starters and shared. Each one impressive.    Keep in mind, if you DO get a reservation do not be tardy. They give your table away after so many minutes! My friend called 2 months before they were to fly out here so of course we got our reservation.  Thanks to Anthony Bourdain for saying Lotus of Siam is THE best Thai food he has ever had in all his travels.  My friends and I are fans of his and that is why they knew where to go when they arrived in Vegas.
7	0	Allergy to onions. Food came out with onions. Waited 15 minutes for drinks. No apology from the server. And she charged us for a side of mushrooms...which we never ordered nor did we receive. Manager said she could "look into it," but we had a flight to catch. I suggest waiting in line for ANY other restaurant before getting sat here right away...chances are you'll wait the same amount anyway.
8	1	The food was great!   Our waitress was very occupied though, because I had to ask another waitress twice to get her.  We ordered the buffalo chicken rolls and they were delicious!  Crisp, hot and very good flavor. Then I got the pasta and salad lunch portion.  My pasta was very good. I ordered the Carbonara. A little too much peas for me, but after I picked a few off the top, it was good.  The salad was a small portion of greens on the side, but was perfect since the appetizer filled me up.  I also ordered a Blanco Sangria and it was just a 3 out of 5.  Drinkable, but wouldn't order again.   I really enjoyed the food, so I am still giving this a 5 regardless of the drink and service.  I will return.
9	0	Ordered Baja fish tacos and the shrimp and pork gyoza. The fish tacos were fine, nothing special one way or the other. The filling inside the gyoza was completely undercooked. As in it looked like the filling was tuna ceviche not cooked pork. Disgusting. They brought a new batch which was properly cooked but didn't even offer to take the charge off the bill. Never coming back. Mediocre at best. I'm just thankful I cut into that dumpling before popping the whole thing in my mouth or I would probably be very sick right now...
